path,category,bytes,sha256,rows
outputs/rineng_overnight_v7/qwen3vl8b/qwen3vl8b_set_b100_p0_correct_3072.jsonl,raw_prediction,503314,0987d7233c69d73b88c43be5c8c362849ca37d9693cfb452510a7549d33a8571,400
outputs/rineng_overnight_v7/qwen3vl8b/qwen3vl8b_set_b100_p0_shuffled_3072.jsonl,raw_prediction,500195,7f41b3c47f593b47cb70e55b1164f79357920a218ca8d4ae93b06c8adddcb060,400
outputs/rineng_overnight_v7/qwen3vl8b/qwen3vl8b_set_b100_p0_text_only_3072.jsonl,raw_prediction,563963,a1f66f1b7a549dfea68983a22f4c5d24b3a428aaaf8f186be29f7ec8b9afe7d0,400
outputs/rineng_overnight_v7/qwen3vl8b/qwen3vl8b_set_b100_p1_correct_3072.jsonl,raw_prediction,506639,afb59ead27194ba9a4acd81936ce9947f49ff620fdfb7398bc99c7ebdb0118c5,400
outputs/rineng_overnight_v7/qwen3vl8b/qwen3vl8b_set_b100_p1_shuffled_3072.jsonl,raw_prediction,503351,7e05232a2433ed8fdd2adce0dd5ce82647543dc14c81a46a6b1ee370f3cf0164,400
outputs/rineng_overnight_v7/qwen3vl8b/qwen3vl8b_set_b100_p1_text_only_3072.jsonl,raw_prediction,552504,c77c0d8af0e94dc37b88a6492ab2deec59a35077cab4838f4f57a0d7ebee247f,400
outputs/rineng_overnight_v7/qwen3vl8b/run_summary.json,run_control,3043,616deba4c7ecf1afc67d090d683ab16e890dc28d2b8f67fd81cd3ba91c07cc89,
paper/cover_letter.md,derived_result,2924,113d6650c8238dc3ebabc09a2c3146ccf6abbb09e9805a25b852f812b6cfe6d9,
paper/data_availability.md,derived_result,744,26cb586e7d52c06baba9262b4c8cf1c8afaa942ee43b3f4bdc5e36b87ceb7837,
paper/figure_captions.md,derived_result,1634,2f837fb0eb337f86cd83666afb5cd11e879f3d331b1a26f7a54b76c4c9a8dceb,
paper/figure_manifest.md,derived_result,1578,f9baf0b3b5150e22795ceef9a5c2c991ea7c535c60065223f29bfca13fbdb20d,
