cost_ratio_fn_over_fp,method_id,label,loss_total,loss_per_source,deterministic_optimal,bootstrap_probability_optimal
0.09102821015130401,paddleocr_geometry,OCR joined,46.20433171859646,0.4620433171859646,0,0.0
0.09102821015130401,ocr_if_nonempty_else_qwen,OCR-first,54.74788035617559,0.5474788035617559,0,0.0
0.09102821015130401,set_union,Union,189.3759056455843,1.893759056455843,0,0.0
0.09274861667755904,set_intersection,Intersection,23.445165235969288,0.23445165235969287,1,1.0
0.09274861667755904,paddleocr_geometry,OCR joined,46.52948855205866,0.46529488552058657,0,0.0
0.09274861667755904,ocr_if_nonempty_else_qwen,OCR-first,55.045510685217714,0.5504551068521771,0,0.0
0.09274861667755904,set_union,Union,189.5531075177886,1.895531075177886,0,0.0
0.0945015383835662,set_intersection,Intersection,23.869372288823023,0.23869372288823024,1,1.0
0.0945015383835662,paddleocr_geometry,OCR joined,46.86079075449401,0.46860790754494014,0,0.0
0.0945015383835662,ocr_if_nonempty_else_qwen,OCR-first,55.34876614035696,0.5534876614035695,0,0.0
0.0945015383835662,set_union,Union,189.73365845350733,1.8973365845350734,0,0.0
0.09628758979670494,set_intersection,Intersection,24.301596730802597,0.24301596730802597,1,1.0
0.09628758979670494,paddleocr_geometry,OCR joined,47.19835447157723,0.4719835447157723,0,0.0
0.09628758979670494,ocr_if_nonempty_else_qwen,OCR-first,55.65775303482995,0.5565775303482995,0,0.0
0.09628758979670494,set_union,Union,189.9176217490606,1.899176217490606,0,0.0
0.09810739705874244,set_intersection,Intersection,24.74199008821567,0.24741990088215668,1,1.0
0.09810739705874244,paddleocr_geometry,OCR joined,47.542298044102324,0.47542298044102327,0,0.0
0.09810739705874244,ocr_if_nonempty_else_qwen,OCR-first,55.97257969116244,0.5597257969116244,0,0.0
0.09810739705874244,set_union,Union,190.10506189705046,1.9010506189705045,0,0.0
0.09996159814534197,set_intersection,Intersection,25.19070675117276,0.2519070675117276,1,1.0
0.09996159814534197,paddleocr_geometry,OCR joined,47.89274204946963,0.47892742049469633,0,0.0
0.09996159814534197,ocr_if_nonempty_else_qwen,OCR-first,56.293356479144165,0.5629335647914416,0,0.0
0.09996159814534197,set_union,Union,190.29604460897022,1.9029604460897023,0,0.0
0.10185084308971996,set_intersection,Intersection,25.647904027712233,0.2564790402771223,1,1.0
0.10185084308971996,paddleocr_geometry,OCR joined,48.24980934395707,0.4824980934395707,0,0.0
0.10185084308971996,ocr_if_nonempty_else_qwen,OCR-first,56.620195854521555,0.5662019585452156,0,0.0
